study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
1,001_01,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Pre-test,cognitive,not_reported,43,43,98.14,6.3,98.73,4.66,-0.1055,0.2158,-0.5285,0.3175,-0.1065,0.42,NA,0.676,NA,RCT,not_reported,Semantic Scholar,10.3390/app15041815,24.79,26.26,3.47,7.2,0.2341,-1.2,-0.123,0.726,0.3081,-1.03,high,27,26,16,17,3.97,4.06,0.44,0.41,3rd Year,3rd Year,TLG,ALG,Table 1 shows general characteristics and statistical comparison of ALG and TLG groups. Final study groups n=86 total (43 per group).,Undergraduate,Undergraduate
1,001_02,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Post-test,cognitive,not_reported,43,43,98.55,4.86,98.78,5.15,-0.0455,0.2157,-0.4683,0.3772,-0.0459,0.154,NA,0.879,NA,RCT,not_reported,Semantic Scholar,10.3390/app15041815,24.79,26.26,3.47,7.2,0.2341,-1.2,-0.123,0.726,0.3081,-1.03,high,27,26,16,17,3.97,4.06,0.44,0.41,3rd Year,3rd Year,TLG,ALG,Table 1 shows general characteristics and statistical comparison of ALG and TLG groups. Final study groups n=86 total (43 per group).,Undergraduate,Undergraduate
1,001_03,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Learning Duration,behavioral,not_reported,43,43,117.2,27.43,119.53,16.15,-0.1026,0.2158,-0.5256,0.3204,-0.1035,0.368,NA,0.716,NA,RCT,not_reported,Semantic Scholar,10.3390/app15041815,24.79,26.26,3.47,7.2,0.2341,-1.2,-0.123,0.726,0.3081,-1.03,high,27,26,16,17,3.97,4.06,0.44,0.41,3rd Year,3rd Year,TLG,ALG,Table 1 shows general characteristics and statistical comparison of ALG and TLG groups. Final study groups n=86 total (43 per group).,Undergraduate,Undergraduate
1,001_04,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Course Satisfaction,affective,not_reported,43,43,4.91,0.39,4.9,0.43,0.0241,0.2157,-0.3986,0.4469,0.0244,-0.115,NA,0.909,NA,RCT,not_reported,Semantic Scholar,10.3390/app15041815,24.79,26.26,3.47,7.2,0.2341,-1.2,-0.123,0.726,0.3081,-1.03,high,27,26,16,17,3.97,4.06,0.44,0.41,3rd Year,3rd Year,TLG,ALG,Table 1 shows general characteristics and statistical comparison of ALG and TLG groups. Final study groups n=86 total (43 per group).,Undergraduate,Undergraduate
2,002_01,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025,Hui He; Xing Li,programming performance,cognitive,apply,38,42,34.34,8.31,25.47,6.02,1.2205,0.2438,0.7426,1.6983,1.2323,5.496,NA,< .001,NA,RCT,not_reported,Semantic Scholar,10.1109/ICDEL65868.2025.11193454,,,,,,,,,,,medium,,,,,,,,,,,PP Group,AI Group,"Study mentions 80 undergraduate students aged 19.34 years (SD=1.23) overall. Groups: AI Group (n=38) vs PP Group (n=42). No baseline demographics table found, only outcome tables.",undergraduate,undergraduate
2,002_02,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025,Hui He; Xing Li,self-efficacy,affective,not_reported,38,42,3.63,0.21,3.19,NA,NA,NA,NA,NA,NA,NA,NA,< .001,NA,RCT,ChatGPT,Semantic Scholar,10.1109/ICDEL65868.2025.11193454,,,,,,,,,,,medium,,,,,,,,,,,PP Group,AI Group,"Study mentions 80 undergraduate students aged 19.34 years (SD=1.23) overall. Groups: AI Group (n=38) vs PP Group (n=42). No baseline demographics table found, only outcome tables.",undergraduate,undergraduate
2,002_03,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025,Hui He; Xing Li,programming interest,affective,not_reported,38,42,3.54,0.32,3.22,0.31,0,0.2239,-0.4388,0.4388,0,NA,NA,< .001,NA,RCT,ChatGPT,Semantic Scholar,10.1109/ICDEL65868.2025.11193454,,,,,,,,,,,medium,,,,,,,,,,,PP Group,AI Group,"Study mentions 80 undergraduate students aged 19.34 years (SD=1.23) overall. Groups: AI Group (n=38) vs PP Group (n=42). No baseline demographics table found, only outcome tables.",undergraduate,undergraduate
3,003_01,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025,not_reported,Academic Writing Achievement Pre-Test,cognitive,create,25,25,57.15,22.988,56.35,20.185,0.0364,0.2829,-0.518,0.5908,0.037,NA,NA,0,NA,quasi-experimental,ChatGPT,Semantic Scholar,10.17323/jle.2025.17913,,,,,,,,,,,medium,,,,,,,,,fifth-semester,fifth-semester,Control,Experimental,"102 fifth-semester students from 4 classes, cluster randomized into experimental (ChatGPT) and control groups, 25 students each after matching on homogeneous profiles. Table 5 shows achievement scores but no baseline demographics table found.",undergraduate,undergraduate
3,003_02,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025,not_reported,Academic Writing Achievement Post-Test,cognitive,create,25,25,81.11,22.988,60.3,20.185,0.9469,0.2983,0.3623,1.5315,0.962,NA,NA,0.067,NA,quasi-experimental,ChatGPT,Semantic Scholar,10.17323/jle.2025.17913,,,,,,,,,,,medium,,,,,,,,,fifth-semester,fifth-semester,Control,Experimental,"102 fifth-semester students from 4 classes, cluster randomized into experimental (ChatGPT) and control groups, 25 students each after matching on homogeneous profiles. Table 5 shows achievement scores but no baseline demographics table found.",undergraduate,undergraduate
4,004_01,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 1,affective,not_reported,20,20,4.2,0.92,3,0.82,1.3497,0.3504,0.6629,2.0364,1.377,NA,NA,0.04,NA,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13,,7,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
